age,country,music_style,favorite_artists,have_music_degree,track_memorized
20-29,台灣,"Pop 流行樂, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂",草東沒有派對/ J.Sheon／五月天,no,"-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,0,0,-1,1,0,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,1,0,1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,1,0,0,-1,0,-1,1,-1,-1,0,-1,0,1,0,1,-1,-1,-1,-1,0,-1,0,0,-1,1,0,-1,1,0,1,-1,1,1,-1,-1,0,-1,-1,0,0,0,0,0,-1,1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,0,-1,0,0,-1,1,-1,-1,-1,0,0,0,0,1,-1,1,-1,0,0,0,1,-1,-1,-1,1,1,0,1,-1,0,0,-1,-1,0,1,0,0,1,1,1"
20-29,中華民國,"Pop 流行樂, Classical 古典樂, Indie Rock 獨立音樂",鄧紫棋 理想混蛋 蕭邦,no,"-1,-1,1,-1,0,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,0,-1,-1,1,1,-1,-1,1,-1,0,1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1"
20-29,台灣,"Pop 流行樂, Electronic Dance Music (EDM) 電音",The chainsmoker/Ed sheeran/R3HAB,no,"0,1,0,-1,-1,0,-1,1,-1,0,-1,0,1,-1,1,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,-1,-1,1,0,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,0,1,-1,-1,-1,0,0,-1,1,1,-1,0,1,-1,-1,0,0,1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,1,-1,1,-1,-1,-1,1,0,-1,-1,0,0,0,-1,-1,-1,0,1,0,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,1,0,-1,1,0,1,0,-1,-1,-1,-1,1,0,-1,0,-1,0,1,1,-1,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,0,-1,0,1,1,-1,1,1,-1,-1,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,-1,0,-1,-1,1,-1,0,1,1,-1,-1,-1,0,-1,0,0,-1,-1"
20-29,中華民國,"Pop 流行樂, Electronic Dance Music (EDM) 電音",山田涼介/鷲見友美ジェナ/大石昌良,no,"-1,0,1,-1,-1,1,-1,-1,1,-1,1,0,0,-1,-1,1,-1,1,0,0,0,1,-1,-1,0,1,0,1,1,1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,1,0,-1,1,1,-1,1,0,1,1,1,-1,1,-1,0,0,0,0,1,-1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,0,0,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,1,0,1,1,-1,1,1,-1,-1,-1,-1,0,-1,0,-1,0,-1,1,1,-1,-1,1,1,0,1,1,-1,0,0,-1,-1,0,1,-1,-1,-1,0,0,1,-1,-1,1,-1,1,-1,-1,0,-1,-1,1,-1,1,1,-1,-1,1,-1,0,-1,-1,-1,-1,0,1,1,0,-1,-1,0,0,1,0,-1,1,1,1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,1,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,1,-1,0,-1,1,-1,0,-1,1,1,-1,0,1,1,1,-1,0,-1,-1,-1,-1,-1,0,-1"
20-29,中華民國,"Pop 流行樂, R & B / Soul 節奏藍調／靈魂樂",Why don't we 告五人 Stray Kids,no,"1,0,-1,-1,0,0,1,1,-1,1,-1,0,0,1,1,0,1,-1,1,-1,0,1,0,0,1,1,-1,-1,-1,1,0,1,-1,-1,1,0,-1,-1,-1,0,1,-1,0,1,0,-1,1,0,1,-1,0,1,0,1,1,1,0,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,1,-1,-1,1,0,-1,-1,-1,1,0,-1,-1,0,0,-1,0,-1,1,-1,-1,-1,-1,1,1,-1,1,0,-1,1,-1,1,1,-1,-1,1,0,1,1,-1,0,1,-1,-1,-1,-1,0,1,1,0,1,-1,-1,-1,1,1,1,1,1,0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,0,-1,1,-1,-1,0,-1,1,-1,1,0,0,1,0,-1,-1,1,1,-1,0,1,0,1"
20-29,中華民國,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲",黃明志、薛之謙、陳小春,yes,"-1,-1,-1,-1,1,1,-1,1,1,-1,0,0,1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,1,-1,-1,1,-1,0,0,1,1,-1,-1,1,0,-1,-1,1,-1,0,-1,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1"
20-29,台灣,"Pop 流行樂, Electronic Dance Music (EDM) 電音",八三夭 周杰倫 鄧紫棋,no,"1,-1,-1,1,0,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,1,0,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,0,-1,-1,0,-1,-1,-1,0,-1,1,-1,1,-1,0,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,-1,-1,1,0,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,0,1,-1,0,-1,0,1,-1,0,-1,-1,1,1,-1,0,0,1,-1,-1,-1,0,-1,1,1,-1,-1,1,-1,-1,-1,1,0,-1,1,-1,-1,-1,1,1,-1,0,1,1,-1,0,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,0,1,1,-1,-1,-1,0,1,1,0,0,-1,-1,1,1,-1,-1,1,-1,-1,0,1,-1,-1,1,0,-1,1,-1,0,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,0,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,-1,1,-1"
20-29,台灣,"Pop 流行樂, Classical 古典樂, Jazz/Blues 爵士樂／藍調",林宥嘉、barber（配樂）、Brahms（古典音樂）,yes,"-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,0,1,0,-1,1,0,-1,-1,-1,1,1,1,-1,1,0,1,0,0,1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,0,0,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,0,1,-1,1,-1,-1,-1,1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,1,-1,1,-1,-1,0,1,-1,-1,1,0,0,-1,0,-1,1,1,-1,1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,0,-1,-1,1,-1,0,1,-1,0,-1,-1,1,1,0,-1,-1,-1,1,0,0,0,-1,-1,1,-1,-1,1,0,1,1,-1,-1,-1,1,0,-1,-1,1,-1,-1,0,1,0,-1,-1,-1"
20-29,臺灣,"Pop 流行樂, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂",One Ok Rock/IU/溫室雜草,no,"-1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,0,1,1,-1,-1,0,-1,-1,1,1,1,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,-1,1,1,0,-1,-1,1,1,0,1,-1,-1,-1,1,-1,-1,0,0,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,0,-1,1,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,0,-1,0,-1,1,-1,-1,1,1,-1,1,-1,0,-1,1,1,-1,-1,1,1,1,0,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0,1,1,-1,1,1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,0,1,-1,0,-1,0,1,1,0,-1,0,-1,0,-1,1,-1,1,1,-1,0,0,-1,-1,0,1,-1,-1,0,0,-1,1,1,1"
20-29,Taiwan,"Pop 流行樂, Classical 古典樂, Electronic Dance Music (EDM) 電音, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂, Rock 搖滾音樂","Eminem,Jay Z,周杰倫",no,"1,-1,1,1,0,-1,-1,1,1,0,-1,-1,1,1,0,-1,-1,0,1,1,-1,-1,-1,1,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,1,1,-1,-1,1,-1,0,-1,0,0,1,0,-1,0,-1,0,0,0,0,-1,-1,1,1,-1,0,1,1,-1,0,1,1,1,0,0,0,-1,1,-1,0,-1,0,-1,0,0,-1,1,-1,1,0,0,-1,-1,-1,1,-1,0,-1,1,0,0,0,-1,-1,-1,0,0,0,0,1,-1,0,-1,1,-1,0,-1,-1,0,0,-1,-1,-1,1,1,-1,-1,0,0,-1,1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,1,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,1,0,-1,-1,0,1,1,0,0,0,0,1,1,0,0,-1,-1,0,1,0,-1,0,-1,-1,0,-1,0,0,1,-1,-1,0,0,-1,0,-1,-1,0,1,0,0,-1,-1,1,-1,-1,-1,0,1,-1,0,-1,0,0"
20-29,台灣,"Pop 流行樂, Classical 古典樂, Indie Rock 獨立音樂",伍佰／deca joins／中島美嘉,yes,"-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,0,1,1,-1,0,1,0,1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,0,1,0,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,1,0,-1,0,-1,-1,-1,1,0,-1,-1,1,1,1,0,1,1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,0,-1,-1,0,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,0,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,-1,0,0,1,1,-1,-1,1,1,0,-1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,0,-1,0,0,0,0,1,-1,-1,0,0,-1,0,-1,-1,1,-1,1,-1,1,-1,0,1,0,-1,1,1,1,0,-1,0,0,-1"
20-29,台灣,"Pop 流行樂, Classical 古典樂, Hip-hop / Rap 嘻哈樂／饒舌樂",楊丞琳/薛之謙/告五人,yes,"1,0,0,1,0,-1,0,0,0,1,1,-1,1,-1,1,1,1,0,1,-1,0,1,0,-1,1,-1,1,0,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,0,1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,1,0,1,-1,0,-1,0,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,0,-1,0,1,-1,0,-1,-1,0,-1,-1,0,-1,0,0,1,1,1,-1,1,0,-1,-1,-1,-1,1,0,0,0,-1,1,-1,1,-1,-1,0,-1,1,1,-1,1,-1,1,1,1,0,0,-1,-1,1,1,0,1,1,0,1,0,1,1,0,1,-1,1,-1,0,0,1,1,-1,1,-1,-1,-1,0,1,-1,1,-1,0,-1,-1,-1,-1,1,0,-1,-1,1,1,-1,1,0,1,0,-1,1,1,1,-1,1,-1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,-1,1,-1,-1,1,-1,-1"
20-29,中華民國,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Electronic Dance Music (EDM) 電音",sakanaction/milet/霜月はるか,no,"-1,1,-1,-1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0,-1,0,1,-1,-1,1,-1,0,-1,-1,0,1,-1,-1,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,1,1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,0,-1,-1,1,-1,0,0,-1,1,-1,1,0,0,1,1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,0,-1,1,1,-1,0,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,0,-1,1,-1,1,1,-1,-1"
20-29,台灣,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Classical 古典樂, Indie Rock 獨立音樂",謝震廷/艾怡良/Ariana Grande,no,"-1,1,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,1,0,-1,1,0,-1,-1,1,-1,0,0,1,1,-1,1,-1,-1,-1,1,0,0,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,0,-1,1,0,-1,0,-1,-1,0,-1,1,0,-1,-1,0,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,-1,-1,0,1,0,-1,-1,1,-1,0,0,-1,1,0,1,0,0,0,-1,-1,-1,0,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,0,1,1,-1,0,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,0,-1,1,1,-1,0,0,-1,1,-1,1,1,-1,-1,0,-1,1,1,-1,-1,1,-1,-1,-1,1,1,0,-1,-1,0,1,-1,1,-1,0,-1,-1,1,0,0,1,1,-1,1,1,-1,1,1,0,-1,-1,1"
20-29,台灣,"Pop 流行樂, Classical 古典樂, Jazz/Blues 爵士樂／藍調",周杰倫 告五人 Coldplay ,yes,"-1,-1,1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,1,0,1,1,-1,1,0,-1,1,1,-1,0,-1,-1,1,0,0,-1,1,1,-1,-1,1,1,0,-1,-1,1,1,0,0,1,0,-1,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0,1,1,1,-1,0,1,1,0,1,0,1,-1,-1,1,-1,-1,0,1,0,-1,-1,0,1,0,-1,0,-1,1,0,0,1,1,0,-1,1,0,-1,1,1,0,1,-1,0,1,-1,-1,1,-1,1,0,0,0,-1,1,0,1,1,1,-1,1,-1,1,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,-1,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,1,-1,0,0,-1,-1,1,0,-1,-1,0,1,1,1,-1,1,-1,0,-1,-1,1,-1,0,-1,0,0,-1,1,0,-1,-1,1,0,1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,0,-1,-1,1,0,0,-1,1,1,-1"
20-29,台灣,Classical 古典樂,張碧晨、楊丞琳、陳忻玥,yes,"-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,1,0,-1,1,-1,1,1,-1,1,0,-1,0,1,1,1,1,0,-1,-1,0,1,-1,-1,0,1,-1,0,0,0,-1,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,-1,1,-1,0,-1,0,-1,-1,1,-1,0,-1,-1,1,0,1,-1,1,1,-1,0,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,1,0,1,-1,0,-1,0,-1,-1,-1,1,0,0,1,-1,0,1,1,0,1,-1,1,1,1,0,1,-1,0,-1,0,1,0,-1,1,-1,-1,1,0,-1,0,0,1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,0,-1,-1,1,0,-1,-1,0,-1,1,-1,0,-1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,-1,0,-1,1,0,0,1,-1,-1,1,1,-1,-1,1,-1,0,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,0,0,-1,-1"
20-29,中華民國,Pop 流行樂,"Coldplay, ONE OK ROCK, Yoasobi",no,"1,-1,1,1,0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,0,1,1,1,-1,1,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,-1,-1,1,1,0,1,0,-1,-1,1,1,1,1,1,1,-1,0,-1,-1,1,-1,-1,1,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,0,1,1,1,-1,-1,0,-1,1,1,-1,0,-1,-1,1,1,-1,0,0,-1,0,1,1,-1,1,1,-1,1,1,-1,1,-1,0,1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,-1,-1,-1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,0,1,1,1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,0,1,1,0,1,0,-1,1"
20-29,台灣,"Pop 流行樂, Electronic Dance Music (EDM) 電音, Indie Rock 獨立音樂, Rock 搖滾音樂, Jazz/Blues 爵士樂／藍調",BTS/告五人/AIMER,no,"-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1"
20-29,台灣,"Pop 流行樂, Classical 古典樂","BTS, IU, 周杰倫",no,"-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,1,1,-1,-1,1,1,-1,-1,1,0,0,-1,1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,0,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,0,-1,1,1,-1,0,-1,-1,1,-1,1,1,-1,-1,1,0,-1,-1,1,1,0,-1,-1,-1,0,-1,0,0,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,0,-1,1,-1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,0,-1,-1,1,-1,-1,1,1,1,-1,-1,-1"
20-29,台灣,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Classical 古典樂, Indie Rock 獨立音樂, Religious 宗教音樂",小田和正、梶浦由記、hollow coves,yes,"-1,-1,1,-1,-1,1,1,-1,0,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,0,1,1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,1,-1,1,-1,1,0,-1,-1,1,-1,1,-1,-1,1,1,-1,1,0,1,0,-1,1,-1,0,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,0,1,0,1,1,-1,0,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,0,0,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,0,1,1,-1,-1,0,1,1,1,-1"
